rank_position,content_id,baseline_score,reason_code,action_label,content_age_days,impressions_prev_30d,impressions_last_30d
12714,content_9191b15e5638,0.0,FRESH_OR_GROWING,NO_ACTION,288,3,4
12715,content_93de0089bfe5,0.0,FRESH_OR_GROWING,NO_ACTION,445,4926,7584
12716,content_b872486bfd10,0.0,FRESH_OR_GROWING,NO_ACTION,106,1280,461
12717,content_01b06eff5bce,0.0,FRESH_OR_GROWING,NO_ACTION,441,365,381
12718,content_ee3ab1dfff01,0.0,FRESH_OR_GROWING,NO_ACTION,124,454,225
12719,content_6ff38d8e90ae,0.0,FRESH_OR_GROWING,NO_ACTION,148,240,132
12720,content_0ca2c0cace6a,0.0,FRESH_OR_GROWING,NO_ACTION,180,0,1
12721,content_50644c465743,0.0,FRESH_OR_GROWING,NO_ACTION,95,296,162
12722,content_c09e49e87ab2,0.0,FRESH_OR_GROWING,NO_ACTION,238,581,717
12723,content_2a611fd34f7d,0.0,FRESH_OR_GROWING,NO_ACTION,295,0,3
12724,content_f91888609222,0.0,FRESH_OR_GROWING,NO_ACTION,236,1694,1845
12725,content_8fe1029e7f1d,0.0,FRESH_OR_GROWING,NO_ACTION,495,2,4
12726,content_06577c33292c,0.0,FRESH_OR_GROWING,NO_ACTION,144,57,20
12727,content_b9ad528dd3bf,0.0,FRESH_OR_GROWING,NO_ACTION,334,109,132
12728,content_d837d28950fe,0.0,FRESH_OR_GROWING,NO_ACTION,348,216,297
12729,content_5e5271003234,0.0,FRESH_OR_GROWING,NO_ACTION,147,57,22
12730,content_38eac7e19be0,0.0,FRESH_OR_GROWING,NO_ACTION,517,74,121
12731,content_a2c206712e43,0.0,FRESH_OR_GROWING,NO_ACTION,96,197,103
12732,content_a053ddc3469b,0.0,FRESH_OR_GROWING,NO_ACTION,311,0,1
12733,content_1e6b4cfb915c,0.0,FRESH_OR_GROWING,NO_ACTION,104,17141,6174
12734,content_f10b448dbccb,0.0,FRESH_OR_GROWING,NO_ACTION,312,1,2
12735,content_35fadd1cd9e3,0.0,FRESH_OR_GROWING,NO_ACTION,334,0,1
12736,content_dc01cd869661,0.0,FRESH_OR_GROWING,NO_ACTION,332,12,22
12737,content_e4fa7bfa6018,0.0,FRESH_OR_GROWING,NO_ACTION,463,151,196
12738,content_4aa228eef7a1,0.0,FRESH_OR_GROWING,NO_ACTION,460,2,5
12739,content_ca4370af7560,0.0,FRESH_OR_GROWING,NO_ACTION,294,0,1
12740,content_7c8d47858d8d,0.0,FRESH_OR_GROWING,NO_ACTION,123,0,0
12741,content_d857462cbbc0,0.0,FRESH_OR_GROWING,NO_ACTION,138,0,0
12742,content_4fda2a2cb4b9,0.0,FRESH_OR_GROWING,NO_ACTION,375,11,13
12743,content_d829395fda44,0.0,FRESH_OR_GROWING,NO_ACTION,144,68,39
12744,content_8f03b7d781de,0.0,FRESH_OR_GROWING,NO_ACTION,98,0,0
12745,content_3be7fafe70b1,0.0,FRESH_OR_GROWING,NO_ACTION,174,1,0
12746,content_c6d43639a0c4,0.0,FRESH_OR_GROWING,NO_ACTION,125,742,687
12747,content_6ebb6f3b39ef,0.0,FRESH_OR_GROWING,NO_ACTION,119,146,193
12748,content_0a3048c279c1,0.0,FRESH_OR_GROWING,NO_ACTION,111,272,413
